	Comments
rosemary montojo	Its our behaviors immorality reputation dignity to giving fully respect to the others and all kings, even they treated us a jerk or not their tribes, thats the rules law of GOD, 🙏🙏🙏🤲🤲🤲
Mauro Arrighini	stupenda lei e la canzone
Vuk Stevovic	This song always makes me cry, because my parents divorced it was so stressful for me, my mother and my sister, but we continue to live and that is the magic of life. Be good at something, don't want so much from life and enjoy. This song always lifts me up. Although it is so sad.
Nurul Tea	@Sunlight
Carlos Santos	Pedro Fernández lo cantó en Versión Español
Eddy Moitout	Ça a du être très dur de chanter cette chanson pour Agnetha
stej enli	!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Абидат Абакарова	Божечки какой голос🥰 эмоции зашкаливают🥰🥰🥰❤❤❤❤
BarryChello	as a true metal head i must say that i love this song
Sylvia paetz	ich höre den   Song  gerne
5T3FF13 SRAD	Gorgeous woman she is
AVL	Как же прекрасна и гениальна эта песня, произведение искусства! На мой взгляд лучшая песня за всю историю человечества... такие эмоции вызывает, такое благородство, никакого секса..
Egiz Osmanova	"Почему трек называется ""Победитель забирает все?"" Я не знаю английского, хочу точный перевод текста песни..кто знает?"
Alna Ale	Мне здаецца, што для ўсяго света гэта песня назаўсёды застанецца неперасягненым гімнам страчанага кахання, роспачы страты. АВВА маглі размаўляць з намі з самай глыбіні душы, так шчыра і пранікнёна, што іх пасыл уваходзіў у нашы сэрцы, каб застацца там навечна. Дзякуй за Музыку, АВВА
Khais Hall	You poor souls 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥here
Parv	"If you are not doing anything in your life and want to achieve this song will motivate to work not let any opportunities miss 
Keep working on day you will your desires"
Patrick Freber	Ich liebeeeeee diiiiiiich
Titi Titi	Très bel chanson
Валерий Марецкий	Агнета - ты СУПЕР!!!
Cheryl Star	Here after hearing this song nailed on The Voice!
Тамара Максимова	Мы сейчас не можем и представить себя в 80-е без этой сверхпопулярной группы,без их легендарных песен,без неземной красоты Агнетты и ее фантастического голоса!...
sean south	Agnetha best looking women ever xxx
Joarce Fedorowicz	This is the best song of all times. I just love it.
